Sl_No,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made
1,100000,2,1,1,0
2,50000,3,0,10,9
3,50000,7,1,3,4
4,30000,5,1,1,4
5,100000,6,0,12,3
6,20000,3,0,1,8
7,100000,5,0,11,2
8,15000,3,0,1,1
9,5000,2,0,2,2
10,3000,4,0,1,7
11,10000,4,0,5,5
12,13000,3,0,2,7
13,11000,1,2,5,9
14,9000,1,1,5,6
15,6000,2,2,4,6
16,8000,2,0,5,7
17,15000,2,1,2,4
18,8000,2,0,3,4
19,11000,2,2,2,7
20,19000,4,1,5,8
21,5000,3,2,5,5
22,16000,2,0,3,7
23,6000,4,1,4,6
24,9000,1,1,3,4
25,8000,2,0,2,10
26,18000,1,1,5,10
27,16000,3,0,5,9
28,9000,2,2,2,10
29,5000,2,0,4,6
30,8000,4,0,4,7
31,16000,3,1,5,4
32,11000,3,1,5,6
33,6000,1,0,5,10
34,16000,1,0,5,6
35,8000,4,1,3,10
36,19000,2,0,4,4
37,9000,3,1,4,10
38,17000,2,0,4,6
39,13000,4,1,3,10
40,10000,2,2,4,9
41,19000,4,2,5,9
42,10000,1,1,2,7
43,16000,4,2,3,4
44,20000,2,0,4,4
45,11000,4,2,4,5
46,14000,4,1,4,9
47,5000,1,2,2,5
48,11000,1,2,2,6
49,6000,4,0,2,8
50,14000,3,2,2,6
51,13000,1,0,5,9
52,6000,2,1,5,5
53,17000,2,1,5,8
54,9000,3,0,5,9
55,14000,2,0,4,9
56,6000,1,2,2,4
57,6000,1,0,2,5
58,6000,2,0,2,10
59,9000,1,0,4,7
60,19000,4,1,4,9
61,20000,4,1,4,7
62,18000,1,2,2,9
63,5000,1,0,2,4
64,14000,3,0,4,6
65,12000,1,0,5,9
66,16000,1,1,4,4
67,19000,2,0,3,6
68,9000,4,2,2,6
69,7000,1,2,4,10
70,20000,1,2,3,7
71,14000,1,2,4,7
72,6000,3,2,2,7
73,11000,3,1,2,6
74,19000,3,1,3,6
75,7000,2,0,5,8
76,16000,3,1,4,6
77,17000,1,2,4,6
78,13000,3,1,4,4
79,6000,2,0,4,10
80,15000,1,1,2,7
81,20000,2,2,4,8
82,7000,3,1,5,5
83,13000,1,1,2,5
84,13000,3,1,4,6
85,9000,3,2,4,5
86,10000,1,1,4,5
87,6000,4,1,3,7
88,5000,4,1,2,5
89,8000,1,1,4,8
90,7000,4,2,4,8
91,13000,2,1,4,6
92,13000,1,1,2,10
93,5000,1,1,4,6
94,8000,1,2,5,7
95,20000,2,2,4,4
96,5000,1,2,5,7
97,18000,3,2,3,6
98,15000,2,0,5,4
99,13000,1,1,4,9
100,5000,2,1,4,6
101,11000,1,0,5,6
102,11000,1,1,5,9
103,10000,4,1,5,10
104,13000,1,0,3,7
105,17000,2,1,2,10
106,12000,2,1,4,9
107,20000,2,1,5,5
108,5000,2,2,2,6
109,8000,3,2,2,6
110,18000,4,2,3,8
111,15000,4,2,3,5
112,12000,2,0,4,9
113,18000,4,1,3,10
114,7000,4,1,2,4
115,18000,4,0,3,6
116,7000,2,2,3,7
117,18000,1,0,2,7
118,17000,4,0,4,7
119,14000,3,1,4,5
120,9000,3,0,4,9
121,10000,4,2,4,6
122,13000,3,0,5,10
123,10000,2,2,2,4
124,17000,1,1,4,8
125,5000,2,2,3,7
126,14000,2,1,5,5
127,20000,4,1,4,9
128,6000,3,2,3,9
129,8000,4,1,5,4
130,9000,3,1,4,6
131,18000,3,1,5,6
132,9000,3,0,2,5
133,12000,4,0,2,6
134,10000,3,1,5,9
135,13000,4,1,5,7
136,15000,3,2,3,6
137,17000,3,0,2,8
138,15000,2,0,5,8
139,15000,1,1,5,9
140,19000,1,0,3,10
141,14000,3,0,2,8
142,16000,2,0,4,5
143,9000,4,1,4,8
144,9000,2,1,5,4
145,10000,4,2,4,8
146,13000,3,0,4,4
147,13000,2,1,3,9
148,5000,2,2,5,6
149,7000,1,2,2,10
150,14000,2,1,2,7
151,11000,3,2,2,9
152,19000,1,1,4,4
153,15000,3,2,2,6
154,7000,4,0,4,6
155,8000,4,2,3,10
156,19000,1,1,4,5
157,12000,3,2,5,7
158,17000,1,2,5,8
159,10000,3,2,5,9
160,8000,1,2,2,4
161,7000,1,0,3,10
162,8000,3,2,5,5
163,8000,2,0,3,4
164,16000,3,0,5,10
165,13000,4,0,4,8
166,14000,1,0,4,9
167,13000,4,0,4,7
168,15000,4,2,3,6
169,9000,1,1,4,9
170,14000,3,1,4,7
171,7000,2,1,2,8
172,6000,2,2,3,7
173,20000,2,0,5,6
174,9000,2,1,5,8
175,17000,4,1,2,7
176,6000,1,0,2,5
177,11000,2,2,2,5
178,14000,3,0,4,8
179,6000,1,1,4,7
180,19000,2,2,3,4
181,10000,1,0,3,5
182,13000,3,0,2,10
183,11000,3,0,3,7
184,16000,1,2,5,8
185,14000,4,0,2,4
186,18000,3,0,4,4
187,9000,1,2,2,6
188,16000,2,2,3,8
189,17000,2,0,3,5
190,6000,3,2,3,5
191,20000,3,0,4,10
192,10000,2,1,3,6
193,20000,3,0,3,5
194,6000,2,2,5,8
195,12000,2,0,4,4
196,8000,2,1,4,8
197,14000,2,0,2,8
198,12000,1,1,2,7
199,19000,1,1,4,7
200,7000,4,2,4,9
201,8000,3,0,2,9
202,11000,1,0,3,8
203,5000,1,0,3,8
204,9000,2,0,3,7
205,17000,2,2,5,5
206,17000,1,0,5,5
207,17000,2,1,2,4
208,19000,4,2,4,4
209,11000,2,0,3,9
210,9000,1,0,2,9
211,16000,4,1,4,6
212,10000,3,1,5,4
213,10000,3,1,3,4
214,8000,1,0,2,10
215,15000,4,1,4,9
216,8000,4,0,4,7
217,11000,3,1,5,4
218,11000,4,0,2,5
219,19000,3,1,5,7
220,13000,2,1,5,8
221,8000,1,0,3,10
222,7000,2,2,5,6
223,20000,4,1,3,10
224,20000,2,2,4,10
225,12000,4,1,5,9
226,16000,4,1,2,5
227,8000,1,2,4,8
228,8000,2,2,3,8
229,10000,7,2,0,0
230,8000,7,2,1,4
231,17000,4,5,0,2
232,19000,6,3,2,3
233,20000,5,4,1,0
234,13000,7,2,1,0
235,16000,6,5,0,4
236,13000,7,4,0,0
237,8000,7,5,2,3
238,8000,6,4,0,4
239,19000,5,2,2,0
240,16000,5,2,0,0
241,20000,4,2,2,1
242,10000,4,5,1,3
243,8000,4,3,2,4
244,12000,6,4,2,1
245,5000,7,3,2,4
246,10000,4,2,1,0
247,7000,4,5,0,1
248,19000,7,3,1,2
249,11000,6,5,1,0
250,9000,6,5,2,0
251,18000,6,3,1,4
252,18000,6,2,1,2
253,9000,4,5,0,4
254,18000,6,2,1,4
255,16000,4,3,1,0
256,7000,5,5,2,3
257,13000,7,3,1,4
258,10000,6,4,2,3
259,12000,6,3,2,1
260,6000,4,4,1,4
261,15000,4,5,1,0
262,18000,5,3,0,4
263,14000,5,4,2,1
264,14000,4,2,0,0
265,17000,4,4,1,2
266,9000,7,4,2,1
267,20000,7,5,0,0
268,15000,6,4,0,1
269,17000,6,5,0,0
270,16000,5,5,1,2
271,10000,4,5,2,1
272,7000,7,2,0,4
273,17000,6,2,2,4
274,18000,6,5,2,1
275,10000,5,5,1,3
276,16000,6,2,1,3
277,15000,4,5,2,0
278,17000,4,5,0,4
279,10000,7,4,2,4
280,6000,6,5,2,1
281,7000,6,4,1,2
282,14000,7,2,0,0
283,6000,6,3,1,1
284,7000,4,3,1,0
285,12000,7,2,1,2
286,11000,5,5,2,4
287,8000,4,5,0,0
288,19000,7,2,0,1
289,7000,5,2,2,4
290,7000,6,5,2,2
291,18000,6,3,1,0
292,5000,7,3,2,2
293,17000,4,3,0,4
294,6000,5,2,1,0
295,7000,6,5,2,3
296,10000,6,4,2,3
297,11000,4,4,0,2
298,7000,7,4,0,0
299,12000,6,5,0,2
300,9000,6,5,2,3
301,15000,6,5,0,0
302,8000,6,4,2,4
303,17000,4,2,2,2
304,13000,4,5,2,2
305,16000,4,4,2,4
306,19000,6,5,1,4
307,19000,6,3,0,0
308,8000,5,3,2,1
309,10000,4,5,0,3
310,14000,6,5,2,3
311,5000,4,5,0,1
312,10000,6,3,0,0
313,5000,7,3,1,4
314,7000,4,2,2,4
315,12000,7,3,1,2
316,19000,4,3,1,3
317,18000,6,4,0,2
318,5000,5,5,0,4
319,14000,6,4,0,3
320,8000,6,2,0,3
321,12000,6,5,2,1
322,9000,7,5,0,0
323,8000,6,3,1,2
324,6000,4,2,2,2
325,9000,4,5,0,4
326,14000,4,4,2,3
327,6000,4,4,2,3
328,11000,5,5,1,1
329,14000,4,4,2,1
330,5000,7,4,2,4
331,19000,6,3,1,2
332,18000,6,5,2,0
333,17000,7,3,1,0
334,15000,5,4,2,2
335,8000,7,4,2,0
336,19000,6,5,2,0
337,12000,4,4,2,1
338,6000,7,2,0,4
339,20000,6,2,0,1
340,10000,6,3,1,1
341,7000,6,3,1,1
342,18000,4,3,2,0
343,9000,6,4,2,3
344,6000,5,3,2,4
345,16000,5,2,2,1
346,14000,7,4,2,1
347,19000,6,3,0,1
348,5000,6,2,0,3
349,18000,4,4,2,3
350,11000,7,3,2,3
351,11000,5,2,0,2
352,12000,7,2,0,1
353,15000,5,2,0,0
354,9000,5,4,1,3
355,9000,7,4,0,2
356,10000,5,5,1,4
357,16000,6,5,1,1
358,7000,4,4,2,2
359,9000,5,2,2,0
360,8000,4,2,0,2
361,14000,6,3,0,1
362,18000,6,3,1,4
363,20000,5,5,2,1
364,6000,5,2,0,1
365,13000,6,4,2,3
366,13000,7,5,0,2
367,17000,7,5,0,3
368,8000,4,3,2,1
369,20000,4,3,0,3
370,19000,6,4,1,3
371,11000,5,3,2,3
372,6000,5,2,2,1
373,17000,6,5,1,1
374,6000,4,5,0,1
375,18000,6,5,0,4
376,16000,6,3,1,3
377,13000,5,4,1,2
378,19000,5,2,0,4
379,12000,6,5,2,1
380,6000,7,2,0,3
381,13000,7,2,0,4
382,19000,4,2,0,1
383,6000,6,3,2,3
384,18000,5,3,1,3
385,8000,4,4,0,0
