,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
0,CC General,2,ward,euclidean,4,0.55,17336.59,0.65,2.21
1,CC General,2,average,euclidean,1,,,,1.33
2,CC General,2,average,manhattan,1,,,,1.23
3,CC General,2,average,cosine,22,0.27,6025.35,2.27,1.92
4,CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,3.34
5,CC General,2,average,minkowski,1,,,,7.98
6,CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,11.44
7,CC General,2,complete,euclidean,1,,,,1.41
8,CC General,2,complete,manhattan,1,,,,1.31
9,CC General,2,complete,cosine,36,0.21,4089.27,3.31,2.05
10,CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,3.61
11,CC General,2,complete,minkowski,1,,,,8.55
12,CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,12.49
13,CC General,2,single,euclidean,1,,,,0.34
14,CC General,2,single,manhattan,1,,,,0.27
15,CC General,2,single,cosine,1,,,,0.74
16,CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,2.62
17,CC General,2,single,minkowski,1,,,,6.25
18,CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,8.88
19,CC General,3,ward,euclidean,5,0.52,11284.95,0.81,2.2
20,CC General,3,average,euclidean,1,,,,1.37
21,CC General,3,average,manhattan,1,,,,1.29
22,CC General,3,average,cosine,122,0.32,3008.37,1.51,2.14
23,CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,4.26
24,CC General,3,average,minkowski,1,,,,10.16
25,CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,14.44
26,CC General,3,complete,euclidean,1,,,,1.42
27,CC General,3,complete,manhattan,1,,,,1.37
28,CC General,3,complete,cosine,262,0.23,2646.43,1.86,2.3
29,CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,4.38
30,CC General,3,complete,minkowski,1,,,,10.54
31,CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,14.89
32,CC General,3,single,euclidean,1,,,,0.33
33,CC General,3,single,manhattan,1,,,,0.27
34,CC General,3,single,cosine,4,-0.35,0.15,3.81,1.52
35,CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,3.37
36,CC General,3,single,minkowski,1,,,,8.26
37,CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,11.58
38,CC General,4,ward,euclidean,6,0.49,6416.65,0.79,2.3
39,CC General,4,average,euclidean,1,,,,1.42
40,CC General,4,average,manhattan,1,,,,1.39
41,CC General,4,average,cosine,320,0.35,2121.19,0.85,2.28
42,CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,4.64
43,CC General,4,average,minkowski,1,,,,11.11
44,CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,15.8
45,CC General,4,complete,euclidean,1,,,,1.56
46,CC General,4,complete,manhattan,1,,,,1.48
47,CC General,4,complete,cosine,545,0.32,2703.43,0.98,2.41
48,CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,4.75
49,CC General,4,complete,minkowski,1,,,,11.55
50,CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,16.38
51,CC General,4,single,euclidean,1,,,,0.31
52,CC General,4,single,manhattan,1,,,,0.27
53,CC General,4,single,cosine,42,-0.52,0.33,2.27,1.49
54,CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,3.7
55,CC General,4,single,minkowski,1,,,,9.16
56,CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,12.84
