,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
0,COVID-19,2,ward,euclidean,11,0.55,1498.88,0.55,0.0
1,COVID-19,2,average,euclidean,4,0.68,888.07,0.47,0.0
2,COVID-19,2,average,manhattan,4,0.68,849.85,0.48,0.0
3,COVID-19,2,average,cosine,15,0.53,1208.5,0.65,0.0
4,COVID-19,2,average,chebyshev,3,0.65,485.78,0.47,0.0
5,COVID-19,2,average,minkowski,4,0.68,888.07,0.47,0.01
6,COVID-19,2,average,mahalanobis,161,0.25,32763.04,0.14,0.04
7,COVID-19,2,complete,euclidean,6,0.62,1019.71,0.56,0.0
8,COVID-19,2,complete,manhattan,7,0.63,1077.85,0.51,0.0
9,COVID-19,2,complete,cosine,25,0.44,1127.02,0.89,0.01
10,COVID-19,2,complete,chebyshev,5,0.66,890.13,0.46,0.0
11,COVID-19,2,complete,minkowski,6,0.62,1019.71,0.56,0.01
12,COVID-19,2,complete,mahalanobis,166,0.25,40930.43,0.15,0.05
13,COVID-19,2,single,euclidean,1,,,,0.0
14,COVID-19,2,single,manhattan,1,,,,0.0
15,COVID-19,2,single,cosine,3,0.4,103.16,0.74,0.0
16,COVID-19,2,single,chebyshev,1,,,,0.0
17,COVID-19,2,single,minkowski,1,,,,0.0
18,COVID-19,2,single,mahalanobis,149,0.21,7354.78,0.15,0.03
19,COVID-19,3,ward,euclidean,20,0.44,548.71,0.72,0.01
20,COVID-19,3,average,euclidean,7,0.52,362.9,0.65,0.0
21,COVID-19,3,average,manhattan,12,0.51,331.37,0.63,0.0
22,COVID-19,3,average,cosine,46,0.42,287.82,0.5,0.01
23,COVID-19,3,average,chebyshev,5,0.51,255.33,0.61,0.0
24,COVID-19,3,average,minkowski,7,0.52,362.9,0.65,0.01
25,COVID-19,3,average,mahalanobis,210,0.09,37611.75,0.03,0.05
26,COVID-19,3,complete,euclidean,11,0.51,456.92,0.73,0.0
27,COVID-19,3,complete,manhattan,21,0.43,490.66,0.74,0.01
28,COVID-19,3,complete,cosine,57,0.44,554.01,0.56,0.01
29,COVID-19,3,complete,chebyshev,10,0.46,413.51,0.73,0.0
30,COVID-19,3,complete,minkowski,11,0.51,456.92,0.73,0.02
31,COVID-19,3,complete,mahalanobis,211,0.08,40963.19,0.04,0.07
32,COVID-19,3,single,euclidean,1,,,,0.0
33,COVID-19,3,single,manhattan,1,,,,0.0
34,COVID-19,3,single,cosine,16,-0.07,22.18,0.95,0.01
35,COVID-19,3,single,chebyshev,1,,,,0.0
36,COVID-19,3,single,minkowski,1,,,,0.01
37,COVID-19,3,single,mahalanobis,210,0.09,37611.75,0.03,0.04
38,COVID-19,4,ward,euclidean,30,0.47,338.48,0.64,0.01
39,COVID-19,4,average,euclidean,9,0.46,221.68,0.76,0.0
40,COVID-19,4,average,manhattan,26,0.47,252.72,0.6,0.01
41,COVID-19,4,average,cosine,64,0.42,231.05,0.45,0.01
42,COVID-19,4,average,chebyshev,7,0.5,226.41,0.67,0.0
43,COVID-19,4,average,minkowski,9,0.46,221.68,0.76,0.01
44,COVID-19,4,average,mahalanobis,217,0.05,55440.49,0.02,0.05
45,COVID-19,4,complete,euclidean,21,0.48,285.91,0.7,0.01
46,COVID-19,4,complete,manhattan,34,0.45,297.77,0.7,0.01
47,COVID-19,4,complete,cosine,74,0.38,318.43,0.5,0.01
48,COVID-19,4,complete,chebyshev,16,0.45,259.08,0.79,0.01
49,COVID-19,4,complete,minkowski,21,0.48,285.91,0.7,0.02
50,COVID-19,4,complete,mahalanobis,217,0.05,55440.49,0.02,0.07
51,COVID-19,4,single,euclidean,1,,,,0.0
52,COVID-19,4,single,manhattan,1,,,,0.0
53,COVID-19,4,single,cosine,36,0.15,45.24,0.54,0.01
54,COVID-19,4,single,chebyshev,1,,,,0.0
55,COVID-19,4,single,minkowski,1,,,,0.0
56,COVID-19,4,single,mahalanobis,217,0.05,55440.49,0.02,0.04
