Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,complete,euclidean,1,,,,1.46
CC General,3,complete,euclidean,1,,,,1.62
CC General,4,complete,euclidean,1,,,,1.63
COVID-19,2,complete,euclidean,12,0.6,1359.31,0.51,0.0
COVID-19,3,complete,euclidean,28,0.45,540.12,0.61,0.01
COVID-19,4,complete,euclidean,46,0.44,371.76,0.6,0.01
Credit Card,2,complete,euclidean,4,0.61,1719.74,0.44,0.02
Credit Card,3,complete,euclidean,5,0.75,2800.96,0.43,0.02
Credit Card,4,complete,euclidean,7,0.67,1828.76,0.45,0.01
Mall Customer,2,complete,euclidean,5,0.85,6564.5,0.3,0.0
Mall Customer,3,complete,euclidean,10,0.67,2479.37,0.38,0.0
Mall Customer,4,complete,euclidean,20,0.57,1491.92,0.43,0.01
Sales Transactions,2,complete,euclidean,3,0.61,1670.77,0.53,0.02
Sales Transactions,3,complete,euclidean,7,0.47,1126.58,0.69,0.03
Sales Transactions,4,complete,euclidean,15,0.35,474.2,0.95,0.02
Wholesale,2,complete,euclidean,6,0.54,1022.9,0.61,0.01
Wholesale,3,complete,euclidean,16,0.41,570.84,0.79,0.01
Wholesale,4,complete,euclidean,23,0.44,529.21,0.74,0.01
