Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,complete,mahalanobis,4047,0.39,391215.42,0.26,8.73
CC General,3,complete,mahalanobis,5773,0.29,371791.82,0.15,9.82
CC General,4,complete,mahalanobis,6382,0.25,404248.27,0.12,10.56
COVID-19,2,complete,mahalanobis,194,0.15,123143.08,0.08,0.06
COVID-19,3,complete,mahalanobis,221,0.03,247881.84,0.01,0.08
COVID-19,4,complete,mahalanobis,222,0.02,410571.72,0.0,0.09
Credit Card,2,complete,mahalanobis,334,0.38,355833.63,0.24,0.16
Credit Card,3,complete,mahalanobis,480,0.26,309455.12,0.14,0.17
Credit Card,4,complete,mahalanobis,558,0.18,296187.24,0.07,0.18
Mall Customer,2,complete,mahalanobis,74,0.68,1279676.35,0.15,0.04
Mall Customer,3,complete,mahalanobis,132,0.41,317392.11,0.13,0.05
Mall Customer,4,complete,mahalanobis,160,0.26,238896.2,0.06,0.06
Sales Transactions,2,complete,mahalanobis,635,0.2,140225.45,0.14,0.25
Sales Transactions,3,complete,mahalanobis,782,0.04,94241.76,0.03,0.28
Sales Transactions,4,complete,mahalanobis,810,0.0,90378.18,0.01,0.27
Wholesale,2,complete,mahalanobis,408,0.09,118926.75,0.05,0.12
Wholesale,3,complete,mahalanobis,431,0.03,114953.32,0.01,0.13
Wholesale,4,complete,mahalanobis,434,0.02,161532.0,0.01,0.14
