Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,single,chebyshev,1,,,,1.47
CC General,3,single,chebyshev,1,,,,1.58
CC General,4,single,chebyshev,1,,,,1.68
COVID-19,2,single,chebyshev,1,,,,0.0
COVID-19,3,single,chebyshev,1,,,,0.0
COVID-19,4,single,chebyshev,2,-0.14,0.45,1.43,0.0
Credit Card,2,single,chebyshev,1,,,,0.01
Credit Card,3,single,chebyshev,1,,,,0.01
Credit Card,4,single,chebyshev,1,,,,0.01
Mall Customer,2,single,chebyshev,3,0.86,1235.88,0.23,0.0
Mall Customer,3,single,chebyshev,4,0.79,788.89,0.31,0.0
Mall Customer,4,single,chebyshev,6,0.32,68.93,0.97,0.0
Sales Transactions,2,single,chebyshev,1,,,,0.01
Sales Transactions,3,single,chebyshev,1,,,,0.01
Sales Transactions,4,single,chebyshev,1,,,,0.01
Wholesale,2,single,chebyshev,1,,,,0.0
Wholesale,3,single,chebyshev,1,,,,0.0
Wholesale,4,single,chebyshev,1,,,,0.0
