Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,4,single,euclidean,1,,,,0.32
CC General,4,single,manhattan,1,,,,0.28
CC General,4,single,cosine,137,-0.64,0.64,1.89,1.59
CC General,4,single,chebyshev,1,,,,1.68
CC General,4,single,minkowski,1,,,,3.14
CC General,4,single,mahalanobis,5756,0.17,8911.05,0.12,7.38
COVID-19,4,single,euclidean,5,-0.28,16.65,1.51,0.0
COVID-19,4,single,manhattan,18,-0.09,20.44,0.98,0.0
COVID-19,4,single,cosine,51,0.22,69.2,0.44,0.01
COVID-19,4,single,chebyshev,2,-0.14,0.45,1.43,0.0
COVID-19,4,single,minkowski,5,-0.28,16.65,1.51,0.01
COVID-19,4,single,mahalanobis,222,0.02,410571.72,0.0,0.06
Credit Card,4,single,euclidean,1,,,,0.0
Credit Card,4,single,manhattan,2,0.49,224.48,0.47,0.01
Credit Card,4,single,cosine,19,0.6,589.31,0.4,0.01
Credit Card,4,single,chebyshev,1,,,,0.01
Credit Card,4,single,minkowski,1,,,,0.02
Credit Card,4,single,mahalanobis,540,0.19,84036.52,0.06,0.12
Mall Customer,4,single,euclidean,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,manhattan,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,cosine,10,0.57,349.64,0.37,0.0
Mall Customer,4,single,chebyshev,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,minkowski,6,0.32,68.93,0.97,0.01
Mall Customer,4,single,mahalanobis,154,0.27,138936.54,0.06,0.05
Sales Transactions,4,single,euclidean,1,,,,0.0
Sales Transactions,4,single,manhattan,1,,,,0.01
Sales Transactions,4,single,cosine,68,-0.38,9.8,1.1,0.03
Sales Transactions,4,single,chebyshev,1,,,,0.01
Sales Transactions,4,single,minkowski,1,,,,0.03
Sales Transactions,4,single,mahalanobis,810,0.0,90378.18,0.01,0.19
Wholesale,4,single,euclidean,1,,,,0.0
Wholesale,4,single,manhattan,1,,,,0.0
Wholesale,4,single,cosine,67,-0.15,13.74,0.91,0.02
Wholesale,4,single,chebyshev,1,,,,0.0
Wholesale,4,single,minkowski,1,,,,0.01
Wholesale,4,single,mahalanobis,433,0.02,81215.41,0.01,0.09
