,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
0,Mall Customer,2,ward,euclidean,6,0.8,7173.57,0.38,0.0
1,Mall Customer,2,average,euclidean,3,0.84,1080.28,0.25,0.0
2,Mall Customer,2,average,manhattan,3,0.84,1080.28,0.25,0.0
3,Mall Customer,2,average,cosine,11,0.77,1683.56,0.34,0.0
4,Mall Customer,2,average,mahalanobis,52,0.73,218852.46,0.22,0.01
5,Mall Customer,2,average,minkowski,3,0.84,1080.28,0.25,0.03
6,Mall Customer,2,average,mahalanobis,52,0.73,218852.46,0.22,0.05
7,Mall Customer,2,complete,euclidean,4,0.86,3695.26,0.29,0.0
8,Mall Customer,2,complete,manhattan,4,0.86,3695.26,0.29,0.0
9,Mall Customer,2,complete,cosine,11,0.74,346.46,0.37,0.0
10,Mall Customer,2,complete,mahalanobis,58,0.74,379654.15,0.22,0.01
11,Mall Customer,2,complete,minkowski,4,0.86,3695.26,0.29,0.03
12,Mall Customer,2,complete,mahalanobis,58,0.74,379654.15,0.22,0.05
13,Mall Customer,2,single,euclidean,3,0.84,1080.28,0.25,0.0
14,Mall Customer,2,single,manhattan,3,0.84,1080.28,0.25,0.0
15,Mall Customer,2,single,cosine,5,0.57,253.49,0.6,0.0
16,Mall Customer,2,single,mahalanobis,39,0.72,35433.91,0.2,0.01
17,Mall Customer,2,single,minkowski,3,0.84,1080.28,0.25,0.03
18,Mall Customer,2,single,mahalanobis,39,0.72,35433.91,0.2,0.04
19,Mall Customer,3,ward,euclidean,10,0.63,2307.84,0.44,0.0
20,Mall Customer,3,average,euclidean,5,0.68,601.08,0.41,0.0
21,Mall Customer,3,average,manhattan,5,0.68,601.08,0.41,0.0
22,Mall Customer,3,average,cosine,14,0.63,691.42,0.71,0.0
23,Mall Customer,3,average,mahalanobis,101,0.5,69386.61,0.17,0.02
24,Mall Customer,3,average,minkowski,5,0.68,601.08,0.41,0.05
25,Mall Customer,3,average,mahalanobis,101,0.5,69386.61,0.17,0.08
26,Mall Customer,3,complete,euclidean,7,0.7,1336.95,0.41,0.0
27,Mall Customer,3,complete,manhattan,7,0.7,1336.95,0.41,0.0
28,Mall Customer,3,complete,cosine,21,0.56,1170.88,0.56,0.01
29,Mall Customer,3,complete,mahalanobis,111,0.5,118856.4,0.18,0.02
30,Mall Customer,3,complete,minkowski,7,0.7,1336.95,0.41,0.05
31,Mall Customer,3,complete,mahalanobis,111,0.5,118856.4,0.18,0.08
32,Mall Customer,3,single,euclidean,2,0.55,109.26,0.44,0.0
33,Mall Customer,3,single,manhattan,2,0.55,109.26,0.44,0.0
34,Mall Customer,3,single,cosine,5,0.35,123.35,0.74,0.0
35,Mall Customer,3,single,mahalanobis,84,0.51,14852.85,0.16,0.01
36,Mall Customer,3,single,minkowski,2,0.55,109.26,0.44,0.05
37,Mall Customer,3,single,mahalanobis,84,0.51,14852.85,0.16,0.07
38,Mall Customer,4,ward,euclidean,15,0.62,1543.72,0.43,0.0
39,Mall Customer,4,average,euclidean,8,0.66,475.76,0.35,0.0
40,Mall Customer,4,average,manhattan,10,0.7,887.53,0.35,0.0
41,Mall Customer,4,average,cosine,16,0.62,843.15,0.4,0.0
42,Mall Customer,4,average,mahalanobis,140,0.34,77609.08,0.09,0.02
43,Mall Customer,4,average,minkowski,8,0.66,475.76,0.35,0.08
44,Mall Customer,4,average,mahalanobis,140,0.34,77609.08,0.09,0.11
45,Mall Customer,4,complete,euclidean,11,0.65,916.0,0.4,0.0
46,Mall Customer,4,complete,manhattan,13,0.64,1088.4,0.4,0.0
47,Mall Customer,4,complete,cosine,24,0.54,1185.2,0.44,0.01
48,Mall Customer,4,complete,mahalanobis,146,0.31,115785.43,0.1,0.02
49,Mall Customer,4,complete,minkowski,11,0.65,916.0,0.4,0.07
50,Mall Customer,4,complete,mahalanobis,146,0.31,115785.43,0.1,0.11
51,Mall Customer,4,single,euclidean,3,0.39,65.74,1.52,0.0
52,Mall Customer,4,single,manhattan,4,0.2,44.02,1.41,0.0
53,Mall Customer,4,single,cosine,9,0.55,352.96,0.34,0.0
54,Mall Customer,4,single,mahalanobis,135,0.36,57303.1,0.09,0.02
55,Mall Customer,4,single,minkowski,3,0.39,65.74,1.52,0.07
56,Mall Customer,4,single,mahalanobis,135,0.36,57303.1,0.09,0.1
