,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
0,CC General,2,ward,euclidean,4,0.55,17336.59,0.65,2.24
1,CC General,2,average,euclidean,1,,,,1.43
2,CC General,2,average,manhattan,1,,,,1.29
3,CC General,2,average,cosine,22,0.27,6025.35,2.27,1.93
4,CC General,2,average,chebyshev,1,,,,2.11
5,CC General,2,average,minkowski,1,,,,4.17
6,CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,7.68
7,CC General,2,complete,euclidean,1,,,,1.45
8,CC General,2,complete,manhattan,1,,,,1.34
9,CC General,2,complete,cosine,36,0.21,4089.27,3.31,2.19
10,CC General,2,complete,chebyshev,1,,,,2.16
11,CC General,2,complete,minkowski,1,,,,4.34
12,CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,8.06
13,CC General,2,single,euclidean,1,,,,0.35
14,CC General,2,single,manhattan,1,,,,0.29
15,CC General,2,single,cosine,1,,,,0.79
16,CC General,2,single,chebyshev,1,,,,1.45
17,CC General,2,single,minkowski,1,,,,2.81
18,CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,5.46
19,CC General,3,ward,euclidean,5,0.52,11284.95,0.81,2.28
20,CC General,3,average,euclidean,1,,,,1.44
21,CC General,3,average,manhattan,1,,,,1.29
22,CC General,3,average,cosine,122,0.32,3008.37,1.51,2.24
23,CC General,3,average,chebyshev,1,,,,2.33
24,CC General,3,average,minkowski,1,,,,4.64
25,CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,9.06
26,CC General,3,complete,euclidean,1,,,,1.49
27,CC General,3,complete,manhattan,1,,,,1.37
28,CC General,3,complete,cosine,262,0.23,2646.43,1.86,2.28
29,CC General,3,complete,chebyshev,1,,,,2.39
30,CC General,3,complete,minkowski,1,,,,4.67
31,CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,9.13
32,CC General,3,single,euclidean,1,,,,0.33
33,CC General,3,single,manhattan,1,,,,0.27
34,CC General,3,single,cosine,4,-0.35,0.15,3.81,1.5
35,CC General,3,single,chebyshev,1,,,,1.57
36,CC General,3,single,minkowski,1,,,,2.97
37,CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,6.38
38,CC General,4,ward,euclidean,6,0.49,6416.65,0.79,2.41
39,CC General,4,average,euclidean,1,,,,1.42
40,CC General,4,average,manhattan,1,,,,1.42
41,CC General,4,average,cosine,320,0.35,2121.19,0.85,2.35
42,CC General,4,average,chebyshev,1,,,,2.49
43,CC General,4,average,minkowski,1,,,,4.68
44,CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,9.46
45,CC General,4,complete,euclidean,1,,,,1.53
46,CC General,4,complete,manhattan,1,,,,1.49
47,CC General,4,complete,cosine,545,0.32,2703.43,0.98,2.42
48,CC General,4,complete,chebyshev,1,,,,2.48
49,CC General,4,complete,minkowski,1,,,,4.76
50,CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,9.57
51,CC General,4,single,euclidean,1,,,,0.32
52,CC General,4,single,manhattan,1,,,,0.29
53,CC General,4,single,cosine,42,-0.52,0.33,2.27,1.57
54,CC General,4,single,chebyshev,1,,,,1.63
55,CC General,4,single,minkowski,1,,,,3.05
56,CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,6.8
57,COVID-19,2,ward,euclidean,11,0.55,1498.88,0.55,0.0
58,COVID-19,2,average,euclidean,4,0.68,888.07,0.47,0.0
59,COVID-19,2,average,manhattan,4,0.68,849.85,0.48,0.0
60,COVID-19,2,average,cosine,15,0.53,1208.5,0.65,0.0
61,COVID-19,2,average,chebyshev,3,0.65,485.78,0.47,0.0
62,COVID-19,2,average,minkowski,4,0.68,888.07,0.47,0.01
63,COVID-19,2,average,mahalanobis,161,0.25,32763.04,0.14,0.04
64,COVID-19,2,complete,euclidean,6,0.62,1019.71,0.56,0.0
65,COVID-19,2,complete,manhattan,7,0.63,1077.85,0.51,0.0
66,COVID-19,2,complete,cosine,25,0.44,1127.02,0.89,0.01
67,COVID-19,2,complete,chebyshev,5,0.66,890.13,0.46,0.0
68,COVID-19,2,complete,minkowski,6,0.62,1019.71,0.56,0.01
69,COVID-19,2,complete,mahalanobis,166,0.25,40930.43,0.15,0.05
70,COVID-19,2,single,euclidean,1,,,,0.0
71,COVID-19,2,single,manhattan,1,,,,0.0
72,COVID-19,2,single,cosine,3,0.4,103.16,0.74,0.0
73,COVID-19,2,single,chebyshev,1,,,,0.0
74,COVID-19,2,single,minkowski,1,,,,0.0
75,COVID-19,2,single,mahalanobis,149,0.21,7354.78,0.15,0.03
76,COVID-19,3,ward,euclidean,20,0.44,548.71,0.72,0.01
77,COVID-19,3,average,euclidean,7,0.52,362.9,0.65,0.0
78,COVID-19,3,average,manhattan,12,0.51,331.37,0.63,0.0
79,COVID-19,3,average,cosine,46,0.42,287.82,0.5,0.01
80,COVID-19,3,average,chebyshev,5,0.51,255.33,0.61,0.0
81,COVID-19,3,average,minkowski,7,0.52,362.9,0.65,0.01
82,COVID-19,3,average,mahalanobis,210,0.09,37611.75,0.03,0.05
83,COVID-19,3,complete,euclidean,11,0.51,456.92,0.73,0.0
