Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
COVID-19,2,ward,euclidean,19,0.53,2162.5,0.53,0.0
COVID-19,2,average,euclidean,8,0.61,875.3,0.47,0.0
COVID-19,2,average,manhattan,9,0.61,1089.96,0.47,0.0
COVID-19,2,average,cosine,23,0.44,1023.06,0.86,0.01
COVID-19,2,average,chebyshev,8,0.61,875.3,0.47,0.0
COVID-19,2,average,minkowski,8,0.61,875.3,0.47,0.02
COVID-19,2,average,mahalanobis,190,0.16,98851.35,0.08,0.06
COVID-19,2,complete,euclidean,12,0.6,1359.31,0.51,0.0
COVID-19,2,complete,manhattan,15,0.54,1505.93,0.52,0.01
COVID-19,2,complete,cosine,29,0.4,1034.25,0.93,0.01
COVID-19,2,complete,chebyshev,12,0.56,1462.97,0.53,0.01
COVID-19,2,complete,minkowski,12,0.6,1359.31,0.51,0.02
COVID-19,2,complete,mahalanobis,194,0.15,123143.08,0.08,0.06
COVID-19,2,single,euclidean,1,,,,0.0
COVID-19,2,single,manhattan,1,,,,0.0
COVID-19,2,single,cosine,5,0.56,377.7,0.47,0.0
COVID-19,2,single,chebyshev,1,,,,0.0
COVID-19,2,single,minkowski,1,,,,0.01
COVID-19,2,single,mahalanobis,184,0.14,27330.67,0.09,0.04
COVID-19,3,ward,euclidean,36,0.45,670.09,0.66,0.01
COVID-19,3,average,euclidean,17,0.46,376.08,0.55,0.0
COVID-19,3,average,manhattan,28,0.45,474.02,0.55,0.01
COVID-19,3,average,cosine,64,0.41,438.78,0.48,0.01
COVID-19,3,average,chebyshev,14,0.49,398.27,0.62,0.01
COVID-19,3,average,minkowski,17,0.46,376.08,0.55,0.04
COVID-19,3,average,mahalanobis,221,0.03,247881.84,0.01,0.09
COVID-19,3,complete,euclidean,28,0.45,540.12,0.61,0.01
COVID-19,3,complete,manhattan,43,0.39,601.36,0.7,0.01
COVID-19,3,complete,cosine,72,0.42,532.23,0.5,0.02
COVID-19,3,complete,chebyshev,25,0.43,523.73,0.67,0.01
COVID-19,3,complete,minkowski,28,0.45,540.12,0.61,0.03
COVID-19,3,complete,mahalanobis,221,0.03,247881.84,0.01,0.08
COVID-19,3,single,euclidean,1,,,,0.0
COVID-19,3,single,manhattan,7,-0.23,17.47,1.18,0.0
COVID-19,3,single,cosine,34,0.24,91.19,0.53,0.01
COVID-19,3,single,chebyshev,1,,,,0.0
COVID-19,3,single,minkowski,1,,,,0.01
COVID-19,3,single,mahalanobis,221,0.03,247881.84,0.01,0.05
COVID-19,4,ward,euclidean,57,0.45,438.41,0.59,0.01
COVID-19,4,average,euclidean,33,0.49,316.43,0.56,0.01
COVID-19,4,average,manhattan,57,0.42,335.47,0.48,0.01
COVID-19,4,average,cosine,83,0.37,317.4,0.41,0.02
COVID-19,4,average,chebyshev,24,0.48,289.53,0.62,0.01
COVID-19,4,average,minkowski,33,0.49,316.43,0.56,0.03
COVID-19,4,average,mahalanobis,222,0.02,410571.72,0.0,0.08
COVID-19,4,complete,euclidean,46,0.44,371.76,0.6,0.01
COVID-19,4,complete,manhattan,77,0.43,513.42,0.53,0.02
COVID-19,4,complete,cosine,91,0.35,348.18,0.5,0.02
COVID-19,4,complete,chebyshev,39,0.45,355.41,0.67,0.01
COVID-19,4,complete,minkowski,46,0.44,371.76,0.6,0.04
COVID-19,4,complete,mahalanobis,222,0.02,410571.72,0.0,0.09
COVID-19,4,single,euclidean,5,-0.28,16.65,1.51,0.0
COVID-19,4,single,manhattan,18,-0.09,20.44,0.98,0.0
COVID-19,4,single,cosine,51,0.22,69.2,0.44,0.01
COVID-19,4,single,chebyshev,2,-0.14,0.45,1.43,0.0
COVID-19,4,single,minkowski,5,-0.28,16.65,1.51,0.01
COVID-19,4,single,mahalanobis,222,0.02,410571.72,0.0,0.06
