Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,average,minkowski,1,,,,4.27
CC General,3,average,minkowski,1,,,,4.65
CC General,4,average,minkowski,1,,,,4.81
COVID-19,2,average,minkowski,8,0.61,875.3,0.47,0.02
COVID-19,3,average,minkowski,17,0.46,376.08,0.55,0.04
COVID-19,4,average,minkowski,33,0.49,316.43,0.56,0.03
Credit Card,2,average,minkowski,3,0.73,1612.18,0.33,0.06
Credit Card,3,average,minkowski,4,0.78,2884.14,0.32,0.06
Credit Card,4,average,minkowski,5,0.72,1510.21,0.41,0.06
Mall Customer,2,average,minkowski,4,0.86,4191.69,0.28,0.01
Mall Customer,3,average,minkowski,7,0.72,1499.06,0.29,0.02
Mall Customer,4,average,minkowski,13,0.66,894.21,0.34,0.02
Sales Transactions,2,average,minkowski,1,,,,0.03
Sales Transactions,3,average,minkowski,3,0.41,411.41,0.89,0.05
Sales Transactions,4,average,minkowski,6,0.36,346.63,0.75,0.04
Wholesale,2,average,minkowski,3,0.58,790.56,0.56,0.03
Wholesale,3,average,minkowski,6,0.47,478.99,0.71,0.03
Wholesale,4,average,minkowski,10,0.48,443.5,0.73,0.03
