Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
Mall Customer,2,ward,euclidean,10,0.75,13453.13,0.42,0.0
Mall Customer,2,average,euclidean,4,0.86,4191.69,0.28,0.0
Mall Customer,2,average,manhattan,4,0.86,4191.69,0.28,0.0
Mall Customer,2,average,cosine,9,0.8,8829.67,0.36,0.0
Mall Customer,2,average,chebyshev,4,0.86,4191.69,0.28,0.0
Mall Customer,2,average,minkowski,4,0.86,4191.69,0.28,0.01
Mall Customer,2,average,mahalanobis,70,0.68,919744.28,0.16,0.03
Mall Customer,2,complete,euclidean,5,0.85,6564.5,0.3,0.0
Mall Customer,2,complete,manhattan,5,0.85,6564.5,0.3,0.0
Mall Customer,2,complete,cosine,12,0.77,9438.85,0.43,0.0
Mall Customer,2,complete,chebyshev,5,0.85,6564.5,0.3,0.0
Mall Customer,2,complete,minkowski,5,0.85,6564.5,0.3,0.02
Mall Customer,2,complete,mahalanobis,74,0.68,1279676.35,0.15,0.04
Mall Customer,2,single,euclidean,3,0.86,1235.88,0.23,0.0
Mall Customer,2,single,manhattan,3,0.86,1235.88,0.23,0.0
Mall Customer,2,single,cosine,3,0.86,1235.88,0.23,0.0
Mall Customer,2,single,chebyshev,3,0.86,1235.88,0.23,0.0
Mall Customer,2,single,minkowski,3,0.86,1235.88,0.23,0.02
Mall Customer,2,single,mahalanobis,62,0.7,321810.64,0.15,0.03
Mall Customer,3,ward,euclidean,17,0.59,4785.14,0.43,0.01
Mall Customer,3,average,euclidean,7,0.72,1499.06,0.29,0.0
Mall Customer,3,average,manhattan,7,0.72,1499.06,0.29,0.0
Mall Customer,3,average,cosine,18,0.62,1627.18,0.38,0.01
Mall Customer,3,average,chebyshev,7,0.72,1499.06,0.29,0.0
Mall Customer,3,average,minkowski,7,0.72,1499.06,0.29,0.02
Mall Customer,3,average,mahalanobis,126,0.42,250991.63,0.13,0.05
Mall Customer,3,complete,euclidean,10,0.67,2479.37,0.38,0.0
Mall Customer,3,complete,manhattan,10,0.67,2479.37,0.38,0.0
Mall Customer,3,complete,cosine,26,0.59,1988.17,0.34,0.01
Mall Customer,3,complete,chebyshev,10,0.67,2479.37,0.38,0.0
Mall Customer,3,complete,minkowski,10,0.67,2479.37,0.38,0.02
Mall Customer,3,complete,mahalanobis,132,0.41,317392.11,0.13,0.05
Mall Customer,3,single,euclidean,4,0.79,788.89,0.31,0.0
Mall Customer,3,single,manhattan,4,0.79,788.89,0.31,0.0
Mall Customer,3,single,cosine,9,0.54,760.85,0.33,0.0
Mall Customer,3,single,chebyshev,4,0.79,788.89,0.31,0.0
Mall Customer,3,single,minkowski,4,0.79,788.89,0.31,0.01
Mall Customer,3,single,mahalanobis,117,0.44,118253.26,0.12,0.04
Mall Customer,4,ward,euclidean,25,0.58,2308.97,0.45,0.01
Mall Customer,4,average,euclidean,13,0.66,894.21,0.34,0.01
Mall Customer,4,average,manhattan,15,0.64,813.9,0.37,0.01
Mall Customer,4,average,cosine,24,0.58,1084.27,0.38,0.01
Mall Customer,4,average,chebyshev,11,0.65,727.42,0.35,0.0
Mall Customer,4,average,minkowski,13,0.66,894.21,0.34,0.02
Mall Customer,4,average,mahalanobis,158,0.26,206207.85,0.06,0.06
Mall Customer,4,complete,euclidean,20,0.57,1491.92,0.43,0.01
Mall Customer,4,complete,manhattan,21,0.56,1466.25,0.44,0.01
Mall Customer,4,complete,cosine,31,0.51,1760.76,0.47,0.01
Mall Customer,4,complete,chebyshev,17,0.58,1326.65,0.44,0.01
Mall Customer,4,complete,minkowski,20,0.57,1491.92,0.43,0.02
Mall Customer,4,complete,mahalanobis,160,0.26,238896.2,0.06,0.06
Mall Customer,4,single,euclidean,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,manhattan,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,cosine,10,0.57,349.64,0.37,0.0
Mall Customer,4,single,chebyshev,6,0.32,68.93,0.97,0.0
Mall Customer,4,single,minkowski,6,0.32,68.93,0.97,0.01
Mall Customer,4,single,mahalanobis,154,0.27,138936.54,0.06,0.05
