Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,ward,euclidean,4,0.55,17336.59,0.65,2.31
CC General,2,average,euclidean,1,,,,1.36
CC General,2,average,manhattan,1,,,,1.34
CC General,2,average,cosine,22,0.27,6025.35,2.27,2.01
CC General,2,average,chebyshev,1,,,,2.15
CC General,2,average,minkowski,1,,,,4.32
CC General,2,average,mahalanobis,2279,0.43,97392.44,0.35,7.97
CC General,2,complete,euclidean,1,,,,1.48
CC General,2,complete,manhattan,1,,,,1.39
CC General,2,complete,cosine,36,0.21,4089.27,3.31,2.18
CC General,2,complete,chebyshev,1,,,,2.29
CC General,2,complete,minkowski,1,,,,4.49
CC General,2,complete,mahalanobis,2692,0.43,167604.93,0.39,8.31
CC General,2,single,euclidean,1,,,,0.36
CC General,2,single,manhattan,1,,,,0.28
CC General,2,single,cosine,1,,,,0.78
CC General,2,single,chebyshev,1,,,,1.51
CC General,2,single,minkowski,1,,,,2.99
CC General,2,single,mahalanobis,1385,-0.17,292.44,0.42,5.71
CC General,3,ward,euclidean,5,0.52,11284.95,0.81,2.34
CC General,3,average,euclidean,1,,,,1.47
CC General,3,average,manhattan,1,,,,1.43
CC General,3,average,cosine,122,0.32,3008.37,1.51,2.28
CC General,3,average,chebyshev,1,,,,2.36
CC General,3,average,minkowski,1,,,,4.64
CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,9.12
CC General,3,complete,euclidean,1,,,,1.57
CC General,3,complete,manhattan,1,,,,1.55
CC General,3,complete,cosine,262,0.23,2646.43,1.86,2.37
CC General,3,complete,chebyshev,1,,,,2.46
CC General,3,complete,minkowski,1,,,,4.78
CC General,3,complete,mahalanobis,4668,0.35,129023.41,0.21,9.3
CC General,3,single,euclidean,1,,,,0.36
CC General,3,single,manhattan,1,,,,0.28
CC General,3,single,cosine,4,-0.35,0.15,3.81,1.64
CC General,3,single,chebyshev,1,,,,1.59
CC General,3,single,minkowski,1,,,,3.05
CC General,3,single,mahalanobis,3877,0.1,552.44,0.23,6.5
CC General,4,ward,euclidean,6,0.49,6416.65,0.79,2.5
CC General,4,average,euclidean,1,,,,1.56
CC General,4,average,manhattan,1,,,,1.51
CC General,4,average,cosine,320,0.35,2121.19,0.85,2.46
CC General,4,average,chebyshev,1,,,,2.51
CC General,4,average,minkowski,1,,,,4.77
CC General,4,average,mahalanobis,5183,0.32,90582.26,0.14,9.76
CC General,4,complete,euclidean,1,,,,1.61
CC General,4,complete,manhattan,1,,,,1.55
CC General,4,complete,cosine,545,0.32,2703.43,0.98,2.59
CC General,4,complete,chebyshev,1,,,,2.58
CC General,4,complete,minkowski,1,,,,4.97
CC General,4,complete,mahalanobis,5437,0.3,143945.66,0.16,9.94
CC General,4,single,euclidean,1,,,,0.32
CC General,4,single,manhattan,1,,,,0.28
CC General,4,single,cosine,42,-0.52,0.33,2.27,1.63
CC General,4,single,chebyshev,1,,,,1.68
CC General,4,single,minkowski,1,,,,3.12
CC General,4,single,mahalanobis,4763,0.19,2962.85,0.14,7.0
