Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,complete,cosine,36,0.21,4089.27,3.31,2.18
CC General,3,complete,cosine,262,0.23,2646.43,1.86,2.37
CC General,4,complete,cosine,545,0.32,2703.43,0.98,2.59
COVID-19,2,complete,cosine,25,0.44,1127.02,0.89,0.01
COVID-19,3,complete,cosine,57,0.44,554.01,0.56,0.01
COVID-19,4,complete,cosine,74,0.38,318.43,0.5,0.02
Credit Card,2,complete,cosine,18,0.6,3129.58,1.04,0.02
Credit Card,3,complete,cosine,38,0.53,7598.18,0.57,0.02
Credit Card,4,complete,cosine,54,0.49,3210.58,0.67,0.02
Mall Customer,2,complete,cosine,13,0.77,1311.82,0.36,0.01
Mall Customer,3,complete,cosine,14,0.63,1028.84,0.36,0.01
Mall Customer,4,complete,cosine,22,0.53,1240.12,0.46,0.0
Sales Transactions,2,complete,cosine,31,0.36,2866.61,0.88,0.02
Sales Transactions,3,complete,cosine,94,0.32,856.09,0.85,0.03
Sales Transactions,4,complete,cosine,191,0.27,372.9,0.84,0.05
Wholesale,2,complete,cosine,33,0.26,445.03,1.39,0.01
Wholesale,3,complete,cosine,83,0.34,502.51,0.79,0.02
Wholesale,4,complete,cosine,109,0.35,423.39,0.61,0.02
