Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,single,minkowski,1,,,,2.99
CC General,3,single,minkowski,1,,,,3.05
CC General,4,single,minkowski,1,,,,3.12
COVID-19,2,single,minkowski,1,,,,0.0
COVID-19,3,single,minkowski,1,,,,0.01
COVID-19,4,single,minkowski,1,,,,0.01
Credit Card,2,single,minkowski,1,,,,0.02
Credit Card,3,single,minkowski,1,,,,0.02
Credit Card,4,single,minkowski,1,,,,0.02
Mall Customer,2,single,minkowski,2,0.74,316.82,0.29,0.01
Mall Customer,3,single,minkowski,3,0.54,123.04,0.96,0.01
Mall Customer,4,single,minkowski,3,0.48,93.85,1.06,0.01
Sales Transactions,2,single,minkowski,1,,,,0.02
Sales Transactions,3,single,minkowski,1,,,,0.03
Sales Transactions,4,single,minkowski,1,,,,0.03
Wholesale,2,single,minkowski,1,,,,0.01
Wholesale,3,single,minkowski,1,,,,0.01
Wholesale,4,single,minkowski,1,,,,0.01
