Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,ward,euclidean,4,0.55,17336.59,0.65,2.31
CC General,3,ward,euclidean,5,0.52,11284.95,0.81,2.34
CC General,4,ward,euclidean,6,0.49,6416.65,0.79,2.5
COVID-19,2,ward,euclidean,11,0.55,1498.88,0.55,0.0
COVID-19,3,ward,euclidean,20,0.44,548.71,0.72,0.01
COVID-19,4,ward,euclidean,30,0.47,338.48,0.64,0.01
Credit Card,2,ward,euclidean,7,0.77,9091.53,0.39,0.01
Credit Card,3,ward,euclidean,8,0.7,6855.11,0.43,0.02
Credit Card,4,ward,euclidean,11,0.68,3596.69,0.48,0.02
Mall Customer,2,ward,euclidean,6,0.8,5786.59,0.38,0.0
Mall Customer,3,ward,euclidean,10,0.63,2610.04,0.44,0.0
Mall Customer,4,ward,euclidean,15,0.62,1810.21,0.42,0.01
Sales Transactions,2,ward,euclidean,8,0.53,3242.12,0.54,0.03
Sales Transactions,3,ward,euclidean,11,0.45,1394.4,0.72,0.02
Sales Transactions,4,ward,euclidean,19,0.38,562.13,0.86,0.02
Wholesale,2,ward,euclidean,10,0.47,1382.88,0.64,0.01
Wholesale,3,ward,euclidean,19,0.43,684.96,0.77,0.01
Wholesale,4,ward,euclidean,21,0.44,552.23,0.73,0.01
