Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,average,euclidean,1,,,,1.47
CC General,3,average,manhattan,1,,,,1.43
CC General,3,average,cosine,122,0.32,3008.37,1.51,2.28
CC General,3,average,chebyshev,1,,,,2.36
CC General,3,average,minkowski,1,,,,4.64
CC General,3,average,mahalanobis,4393,0.36,78758.5,0.19,9.12
COVID-19,3,average,euclidean,7,0.52,362.9,0.65,0.0
COVID-19,3,average,manhattan,12,0.51,331.37,0.63,0.0
COVID-19,3,average,cosine,46,0.42,287.82,0.5,0.01
COVID-19,3,average,chebyshev,5,0.51,255.33,0.61,0.0
COVID-19,3,average,minkowski,7,0.52,362.9,0.65,0.02
COVID-19,3,average,mahalanobis,210,0.09,37611.75,0.03,0.05
Credit Card,3,average,euclidean,2,0.58,336.75,0.39,0.01
Credit Card,3,average,manhattan,2,0.58,336.75,0.39,0.01
Credit Card,3,average,cosine,25,0.59,5958.74,0.44,0.02
Credit Card,3,average,chebyshev,1,,,,0.01
Credit Card,3,average,minkowski,2,0.58,336.75,0.39,0.04
Credit Card,3,average,mahalanobis,349,0.33,65802.84,0.22,0.12
Mall Customer,3,average,euclidean,5,0.73,685.4,0.34,0.0
Mall Customer,3,average,manhattan,5,0.73,685.4,0.34,0.0
Mall Customer,3,average,cosine,11,0.68,1186.8,0.32,0.0
Mall Customer,3,average,chebyshev,5,0.73,685.4,0.34,0.0
Mall Customer,3,average,minkowski,5,0.73,685.4,0.34,0.01
Mall Customer,3,average,mahalanobis,101,0.5,78390.24,0.17,0.04
Sales Transactions,3,average,euclidean,1,,,,0.01
Sales Transactions,3,average,manhattan,1,,,,0.01
Sales Transactions,3,average,cosine,55,0.32,693.6,0.81,0.03
Sales Transactions,3,average,chebyshev,1,,,,0.02
Sales Transactions,3,average,minkowski,1,,,,0.04
Sales Transactions,3,average,mahalanobis,724,0.11,33387.19,0.08,0.18
Wholesale,3,average,euclidean,2,0.38,154.91,0.72,0.01
Wholesale,3,average,manhattan,5,0.46,395.78,0.63,0.01
Wholesale,3,average,cosine,64,0.37,460.74,0.64,0.01
Wholesale,3,average,chebyshev,1,,,,0.01
Wholesale,3,average,minkowski,2,0.38,154.91,0.72,0.02
Wholesale,3,average,mahalanobis,416,0.07,36389.52,0.04,0.1
