Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
Credit Card,2,ward,euclidean,4,0.8,5436.48,0.3,0.02
Credit Card,2,average,euclidean,1,,,,0.01
Credit Card,2,average,manhattan,1,,,,0.01
Credit Card,2,average,cosine,9,0.61,2017.29,0.64,0.01
Credit Card,2,average,chebyshev,1,,,,0.01
Credit Card,2,average,minkowski,1,,,,0.03
Credit Card,2,average,mahalanobis,145,0.49,60468.94,0.34,0.07
Credit Card,2,complete,euclidean,1,,,,0.01
Credit Card,2,complete,manhattan,1,,,,0.01
Credit Card,2,complete,cosine,15,0.61,2714.12,0.72,0.02
Credit Card,2,complete,chebyshev,1,,,,0.01
Credit Card,2,complete,minkowski,1,,,,0.03
Credit Card,2,complete,mahalanobis,177,0.44,86397.29,0.4,0.08
Credit Card,2,single,euclidean,1,,,,0.0
Credit Card,2,single,manhattan,1,,,,0.0
Credit Card,2,single,cosine,3,0.68,1019.88,0.56,0.01
Credit Card,2,single,chebyshev,1,,,,0.01
Credit Card,2,single,minkowski,1,,,,0.02
Credit Card,2,single,mahalanobis,90,0.35,2792.4,0.29,0.05
Credit Card,3,ward,euclidean,7,0.78,5218.83,0.37,0.02
Credit Card,3,average,euclidean,1,,,,0.01
Credit Card,3,average,manhattan,1,,,,0.01
Credit Card,3,average,cosine,17,0.66,5572.33,0.45,0.02
Credit Card,3,average,chebyshev,1,,,,0.01
Credit Card,3,average,minkowski,1,,,,0.02
Credit Card,3,average,mahalanobis,281,0.37,40102.59,0.29,0.09
Credit Card,3,complete,euclidean,1,,,,0.01
Credit Card,3,complete,manhattan,2,0.58,336.75,0.39,0.01
Credit Card,3,complete,cosine,28,0.55,6750.1,0.62,0.02
Credit Card,3,complete,chebyshev,1,,,,0.01
Credit Card,3,complete,minkowski,1,,,,0.03
Credit Card,3,complete,mahalanobis,306,0.37,56811.36,0.31,0.09
Credit Card,3,single,euclidean,1,,,,0.0
Credit Card,3,single,manhattan,1,,,,0.0
Credit Card,3,single,cosine,4,0.79,2977.55,0.32,0.01
Credit Card,3,single,chebyshev,1,,,,0.01
Credit Card,3,single,minkowski,1,,,,0.02
Credit Card,3,single,mahalanobis,214,0.26,1967.16,0.29,0.07
Credit Card,4,ward,euclidean,10,0.68,3093.45,0.49,0.02
Credit Card,4,average,euclidean,1,,,,0.01
Credit Card,4,average,manhattan,2,0.49,224.48,0.47,0.01
Credit Card,4,average,cosine,23,0.55,2076.58,0.55,0.02
Credit Card,4,average,chebyshev,1,,,,0.01
Credit Card,4,average,minkowski,1,,,,0.03
Credit Card,4,average,mahalanobis,409,0.32,34378.61,0.2,0.11
Credit Card,4,complete,euclidean,1,,,,0.01
Credit Card,4,complete,manhattan,5,0.71,1461.56,0.41,0.01
Credit Card,4,complete,cosine,41,0.5,3255.99,0.71,0.02
Credit Card,4,complete,chebyshev,1,,,,0.01
Credit Card,4,complete,minkowski,1,,,,0.03
Credit Card,4,complete,mahalanobis,430,0.32,45764.93,0.21,0.12
Credit Card,4,single,euclidean,1,,,,0.0
Credit Card,4,single,manhattan,1,,,,0.0
Credit Card,4,single,cosine,6,0.57,1210.29,0.46,0.01
Credit Card,4,single,chebyshev,1,,,,0.01
Credit Card,4,single,minkowski,1,,,,0.02
Credit Card,4,single,mahalanobis,375,0.33,11148.98,0.2,0.09
