Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,average,mahalanobis,1547,0.45,63602.32,0.43,7.63
CC General,3,average,mahalanobis,3603,0.39,43469.08,0.25,8.75
CC General,4,average,mahalanobis,4536,0.35,44647.21,0.17,9.4
COVID-19,2,average,mahalanobis,139,0.33,21449.76,0.2,0.05
COVID-19,3,average,mahalanobis,202,0.13,19554.71,0.06,0.06
COVID-19,4,average,mahalanobis,212,0.08,25757.13,0.04,0.06
Credit Card,2,average,mahalanobis,145,0.49,60468.94,0.34,0.07
Credit Card,3,average,mahalanobis,281,0.37,40102.59,0.29,0.09
Credit Card,4,average,mahalanobis,409,0.32,34378.61,0.2,0.11
Mall Customer,2,average,mahalanobis,41,0.76,135015.53,0.29,0.03
Mall Customer,3,average,mahalanobis,80,0.58,41437.75,0.24,0.04
Mall Customer,4,average,mahalanobis,124,0.42,49371.27,0.12,0.04
Sales Transactions,2,average,mahalanobis,353,0.39,24165.76,0.31,0.12
Sales Transactions,3,average,mahalanobis,665,0.16,16282.74,0.12,0.17
Sales Transactions,4,average,mahalanobis,774,0.04,17838.9,0.04,0.19
Wholesale,2,average,mahalanobis,310,0.24,14412.09,0.18,0.07
Wholesale,3,average,mahalanobis,401,0.1,17421.99,0.07,0.1
Wholesale,4,average,mahalanobis,417,0.06,28914.52,0.04,0.08
