Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,average,manhattan,1,,,,1.34
CC General,3,average,manhattan,1,,,,1.38
CC General,4,average,manhattan,1,,,,1.5
COVID-19,2,average,manhattan,3,0.65,485.78,0.47,0.0
COVID-19,3,average,manhattan,6,0.52,360.38,0.65,0.01
COVID-19,4,average,manhattan,11,0.43,203.79,0.78,0.0
Credit Card,2,average,manhattan,1,,,,0.01
Credit Card,3,average,manhattan,1,,,,0.01
Credit Card,4,average,manhattan,2,0.49,224.48,0.47,0.01
Mall Customer,2,average,manhattan,3,0.84,1079.17,0.25,0.0
Mall Customer,3,average,manhattan,4,0.69,536.19,0.44,0.0
Mall Customer,4,average,manhattan,6,0.72,577.96,0.55,0.0
Sales Transactions,2,average,manhattan,1,,,,0.01
Sales Transactions,3,average,manhattan,1,,,,0.01
Sales Transactions,4,average,manhattan,1,,,,0.01
Wholesale,2,average,manhattan,1,,,,0.0
Wholesale,3,average,manhattan,2,0.34,167.3,1.46,0.01
Wholesale,4,average,manhattan,5,0.47,333.62,0.74,0.01
