Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,complete,mahalanobis,1980,0.44,107676.76,0.47,8.12
CC General,3,complete,mahalanobis,3897,0.38,68193.37,0.27,8.99
CC General,4,complete,mahalanobis,4794,0.34,75478.83,0.19,9.68
COVID-19,2,complete,mahalanobis,142,0.32,22576.45,0.2,0.06
COVID-19,3,complete,mahalanobis,203,0.12,20843.94,0.06,0.06
COVID-19,4,complete,mahalanobis,212,0.08,25757.13,0.04,0.06
Credit Card,2,complete,mahalanobis,177,0.44,86397.29,0.4,0.08
Credit Card,3,complete,mahalanobis,306,0.37,56811.36,0.31,0.09
Credit Card,4,complete,mahalanobis,430,0.32,45764.93,0.21,0.12
Mall Customer,2,complete,mahalanobis,43,0.76,153219.92,0.29,0.03
Mall Customer,3,complete,mahalanobis,83,0.57,45265.22,0.24,0.04
Mall Customer,4,complete,mahalanobis,127,0.4,55173.49,0.12,0.05
Sales Transactions,2,complete,mahalanobis,398,0.36,33746.39,0.33,0.14
Sales Transactions,3,complete,mahalanobis,678,0.15,20245.66,0.13,0.17
Sales Transactions,4,complete,mahalanobis,775,0.04,18386.78,0.04,0.19
Wholesale,2,complete,mahalanobis,321,0.24,17804.45,0.18,0.08
Wholesale,3,complete,mahalanobis,402,0.1,17842.41,0.07,0.11
Wholesale,4,complete,mahalanobis,417,0.06,28914.52,0.04,0.11
