Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,complete,manhattan,1,,,,1.38
CC General,3,complete,manhattan,1,,,,1.45
CC General,4,complete,manhattan,1,,,,1.55
COVID-19,2,complete,manhattan,6,0.63,1021.96,0.46,0.0
COVID-19,3,complete,manhattan,11,0.44,374.48,0.85,0.0
COVID-19,4,complete,manhattan,21,0.47,279.45,0.73,0.0
Credit Card,2,complete,manhattan,1,,,,0.01
Credit Card,3,complete,manhattan,2,0.58,336.75,0.39,0.01
Credit Card,4,complete,manhattan,5,0.71,1461.56,0.41,0.01
Mall Customer,2,complete,manhattan,4,0.86,3691.75,0.29,0.0
Mall Customer,3,complete,manhattan,5,0.71,899.35,0.37,0.0
Mall Customer,4,complete,manhattan,8,0.72,805.26,0.53,0.0
Sales Transactions,2,complete,manhattan,1,,,,0.01
Sales Transactions,3,complete,manhattan,2,0.26,235.58,1.82,0.02
Sales Transactions,4,complete,manhattan,5,0.3,297.25,1.12,0.02
Wholesale,2,complete,manhattan,2,0.26,121.98,1.78,0.01
Wholesale,3,complete,manhattan,6,0.46,460.19,0.7,0.01
Wholesale,4,complete,manhattan,9,0.43,428.08,0.71,0.01
