Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,single,chebyshev,1,,,,1.49
CC General,3,single,chebyshev,1,,,,1.59
CC General,4,single,chebyshev,1,,,,1.69
COVID-19,2,single,chebyshev,1,,,,0.0
COVID-19,3,single,chebyshev,1,,,,0.0
COVID-19,4,single,chebyshev,1,,,,0.0
Credit Card,2,single,chebyshev,1,,,,0.01
Credit Card,3,single,chebyshev,1,,,,0.01
Credit Card,4,single,chebyshev,1,,,,0.01
Mall Customer,2,single,chebyshev,1,,,,0.0
Mall Customer,3,single,chebyshev,1,,,,0.0
Mall Customer,4,single,chebyshev,2,0.34,58.93,1.69,0.0
Sales Transactions,2,single,chebyshev,1,,,,0.01
Sales Transactions,3,single,chebyshev,1,,,,0.01
Sales Transactions,4,single,chebyshev,1,,,,0.02
Wholesale,2,single,chebyshev,1,,,,0.0
Wholesale,3,single,chebyshev,1,,,,0.0
Wholesale,4,single,chebyshev,1,,,,0.0
