Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,2,single,manhattan,1,,,,0.28
CC General,3,single,manhattan,1,,,,0.28
CC General,4,single,manhattan,1,,,,0.29
COVID-19,2,single,manhattan,1,,,,0.0
COVID-19,3,single,manhattan,1,,,,0.0
COVID-19,4,single,manhattan,1,,,,0.0
Credit Card,2,single,manhattan,1,,,,0.0
Credit Card,3,single,manhattan,1,,,,0.0
Credit Card,4,single,manhattan,1,,,,0.0
Mall Customer,2,single,manhattan,1,,,,0.0
Mall Customer,3,single,manhattan,1,,,,0.0
Mall Customer,4,single,manhattan,3,0.47,90.59,1.09,0.0
Sales Transactions,2,single,manhattan,1,,,,0.0
Sales Transactions,3,single,manhattan,1,,,,0.0
Sales Transactions,4,single,manhattan,1,,,,0.0
Wholesale,2,single,manhattan,1,,,,0.0
Wholesale,3,single,manhattan,1,,,,0.0
Wholesale,4,single,manhattan,1,,,,0.0
