Name,Num of Dimensions,Distance,Linkage,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
CC General,3,minkowski,average,1,,,,4.61
CC General,3,minkowski,complete,1,,,,4.71
CC General,3,minkowski,single,1,,,,3.03
COVID-19,3,minkowski,average,4,0.54,265.7,0.62,0.02
COVID-19,3,minkowski,complete,7,0.53,388.05,0.72,0.02
COVID-19,3,minkowski,single,1,,,,0.01
Credit Card,3,minkowski,average,1,,,,0.02
Credit Card,3,minkowski,complete,1,,,,0.03
Credit Card,3,minkowski,single,1,,,,0.02
Mall Customer,3,minkowski,average,3,0.61,243.91,0.45,0.01
Mall Customer,3,minkowski,complete,5,0.74,1265.19,0.38,0.01
Mall Customer,3,minkowski,single,1,,,,0.0
Sales Transactions,3,minkowski,average,1,,,,0.03
Sales Transactions,3,minkowski,complete,1,,,,0.04
Sales Transactions,3,minkowski,single,1,,,,0.03
Wholesale,3,minkowski,average,1,,,,0.02
Wholesale,3,minkowski,complete,2,0.25,129.8,1.75,0.02
Wholesale,3,minkowski,single,1,,,,0.01
