Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
Sales Transactions,2,ward,euclidean,6,0.56,2747.87,0.51,0.02
Sales Transactions,2,average,euclidean,1,,,,0.01
Sales Transactions,2,average,manhattan,1,,,,0.01
Sales Transactions,2,average,cosine,16,0.48,3307.16,0.67,0.02
Sales Transactions,2,average,chebyshev,1,,,,0.02
Sales Transactions,2,average,minkowski,1,,,,0.04
Sales Transactions,2,average,mahalanobis,353,0.39,24165.76,0.31,0.12
Sales Transactions,2,complete,euclidean,1,,,,0.01
Sales Transactions,2,complete,manhattan,1,,,,0.01
Sales Transactions,2,complete,cosine,25,0.39,3464.94,0.82,0.02
Sales Transactions,2,complete,chebyshev,1,,,,0.02
Sales Transactions,2,complete,minkowski,1,,,,0.04
Sales Transactions,2,complete,mahalanobis,398,0.36,33746.39,0.33,0.14
Sales Transactions,2,single,euclidean,1,,,,0.0
Sales Transactions,2,single,manhattan,1,,,,0.0
Sales Transactions,2,single,cosine,1,,,,0.0
Sales Transactions,2,single,chebyshev,1,,,,0.01
Sales Transactions,2,single,minkowski,1,,,,0.03
Sales Transactions,2,single,mahalanobis,232,0.11,538.97,0.36,0.08
Sales Transactions,3,ward,euclidean,9,0.47,1277.02,0.7,0.02
Sales Transactions,3,average,euclidean,1,,,,0.01
Sales Transactions,3,average,manhattan,1,,,,0.01
Sales Transactions,3,average,cosine,40,0.36,779.19,0.73,0.02
Sales Transactions,3,average,chebyshev,1,,,,0.02
Sales Transactions,3,average,minkowski,1,,,,0.03
Sales Transactions,3,average,mahalanobis,665,0.16,16282.74,0.12,0.17
Sales Transactions,3,complete,euclidean,1,,,,0.01
Sales Transactions,3,complete,manhattan,2,0.26,235.58,1.82,0.02
Sales Transactions,3,complete,cosine,71,0.33,961.25,0.88,0.03
Sales Transactions,3,complete,chebyshev,1,,,,0.02
Sales Transactions,3,complete,minkowski,1,,,,0.04
Sales Transactions,3,complete,mahalanobis,678,0.15,20245.66,0.13,0.17
Sales Transactions,3,single,euclidean,1,,,,0.0
Sales Transactions,3,single,manhattan,1,,,,0.0
Sales Transactions,3,single,cosine,2,-0.22,0.2,2.14,0.02
Sales Transactions,3,single,chebyshev,1,,,,0.01
Sales Transactions,3,single,minkowski,1,,,,0.03
Sales Transactions,3,single,mahalanobis,645,0.15,5071.02,0.12,0.15
Sales Transactions,4,ward,euclidean,13,0.37,532.35,0.94,0.02
Sales Transactions,4,average,euclidean,1,,,,0.01
Sales Transactions,4,average,manhattan,1,,,,0.01
Sales Transactions,4,average,cosine,94,0.29,302.85,0.82,0.03
Sales Transactions,4,average,chebyshev,1,,,,0.02
Sales Transactions,4,average,minkowski,1,,,,0.04
Sales Transactions,4,average,mahalanobis,774,0.04,17838.9,0.04,0.19
Sales Transactions,4,complete,euclidean,1,,,,0.01
Sales Transactions,4,complete,manhattan,5,0.3,297.25,1.12,0.02
Sales Transactions,4,complete,cosine,146,0.26,370.46,0.94,0.04
Sales Transactions,4,complete,chebyshev,1,,,,0.02
Sales Transactions,4,complete,minkowski,1,,,,0.04
Sales Transactions,4,complete,mahalanobis,775,0.04,18386.78,0.04,0.19
Sales Transactions,4,single,euclidean,1,,,,0.0
Sales Transactions,4,single,manhattan,1,,,,0.0
Sales Transactions,4,single,cosine,5,-0.42,0.41,1.58,0.02
Sales Transactions,4,single,chebyshev,1,,,,0.02
Sales Transactions,4,single,minkowski,1,,,,0.03
Sales Transactions,4,single,mahalanobis,763,0.03,5565.04,0.04,0.21
